,Year ending March,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,Offence Subgroup Code,Offence Subgroup Name,Crime Severity,Severity Total Score
15239,2018,3273,HEXHAM,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
15249,2018,3275,MAILORS FLAT,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
15250,2018,3275,MAILORS FLAT,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
15256,2018,3276,WOOLSTHORPE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
15258,2018,3277,ALLANSFORD,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2,A232,Non-FV Common assault,10,20
15261,2018,3277,ALLANSFORD,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,2,A89,Other dangerous or negligent acts endangering people,7,14
15274,2018,3277,ALLANSFORD,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,2,D22,Drunk and disorderly in public,4,8
15275,2018,3277,ALLANSFORD,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
15276,2018,3277,MEPUNGA,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
15287,2018,3278,PURNIM,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
15288,2018,3278,PURNIM,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
15295,2018,3279,BALLANGEICH,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,2,A89,Other dangerous or negligent acts endangering people,7,14
15300,2018,3280,DENNINGTON,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
15307,2018,3280,DENNINGTON,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,1,D24,Offensive language,3,3
15315,2018,3280,WARRNAMBOOL,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,54,A232,Non-FV Common assault,10,540
15317,2018,3280,WARRNAMBOOL,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,88,A212,Non-FV Serious assault,10,880
15321,2018,3280,WARRNAMBOOL,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,19,A732,Non-FV Threatening behaviour,7,133
15323,2018,3280,WARRNAMBOOL,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,4,A722,Non-FV Harassment and private nuisance,8,32
15325,2018,3280,WARRNAMBOOL,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,5,A712,Non-FV Stalking,10,50
15327,2018,3280,WARRNAMBOOL,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,15,A89,Other dangerous or negligent acts endangering people,7,105
15328,2018,3280,WARRNAMBOOL,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,6,A83,Throw or discharge object endangering people,7,42
15330,2018,3280,WARRNAMBOOL,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,8,A81,Dangerous driving,7,56
15356,2018,3280,WARRNAMBOOL,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
15359,2018,3280,WARRNAMBOOL,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,4,D26,Disorderly conduct,5,20
15361,2018,3280,WARRNAMBOOL,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,7,D24,Offensive language,3,21
15362,2018,3280,WARRNAMBOOL,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,27,D23,Offensive conduct,5,135
15363,2018,3280,WARRNAMBOOL,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,91,D22,Drunk and disorderly in public,4,364
15364,2018,3280,WARRNAMBOOL,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,3,D21,Riot and affray,6,18
15365,2018,3280,WARRNAMBOOL,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,1,D36,Other public nuisance offences,7,7
15366,2018,3280,WARRNAMBOOL,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,18,D35,Improper movement on public or private space,4,72
15367,2018,3280,WARRNAMBOOL,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,2,D32,Hoaxes,7,14
15382,2018,3281,BUSHFIELD,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
15385,2018,3281,BUSHFIELD,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
15397,2018,3282,KOROIT,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2,A232,Non-FV Common assault,10,20
15416,2018,3282,KOROIT,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,1,D24,Offensive language,3,3
15417,2018,3282,KOROIT,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
15422,2018,3283,CROSSLEY,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
15423,2018,3283,CROSSLEY,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
15428,2018,3283,KILLARNEY,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
15434,2018,3283,KILLARNEY,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,2,D24,Offensive language,3,6
15435,2018,3283,KILLARNEY,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
15460,2018,3284,PORT FAIRY,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2,A232,Non-FV Common assault,10,20
15462,2018,3284,PORT FAIRY,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,3,A212,Non-FV Serious assault,10,30
15464,2018,3284,PORT FAIRY,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
15482,2018,3284,PORT FAIRY,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,1,D24,Offensive language,3,3
15483,2018,3284,PORT FAIRY,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,2,D23,Offensive conduct,5,10
15484,2018,3284,PORT FAIRY,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,5,D22,Drunk and disorderly in public,4,20
15485,2018,3284,PORT FAIRY,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,2,D36,Other public nuisance offences,7,14
15486,2018,3284,PORT FAIRY,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
15490,2018,3285,CODRINGTON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
15491,2018,3285,CODRINGTON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
15509,2018,3285,YAMBUK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
15513,2018,3286,MACARTHUR,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
15517,2018,3286,MACARTHUR,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,1,D24,Offensive language,3,3
15525,2018,3289,PENSHURST,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
15530,2018,3289,PENSHURST,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
15531,2018,3289,PENSHURST,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
15555,2018,3294,DUNKELD,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
15561,2018,3294,DUNKELD,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
15562,2018,3294,DUNKELD,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
15578,2018,3300,HAMILTON,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,10,A232,Non-FV Common assault,10,100
15580,2018,3300,HAMILTON,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,25,A212,Non-FV Serious assault,10,250
15583,2018,3300,HAMILTON,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,2,A732,Non-FV Threatening behaviour,7,14
15585,2018,3300,HAMILTON,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
15587,2018,3300,HAMILTON,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
15588,2018,3300,HAMILTON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,4,A89,Other dangerous or negligent acts endangering people,7,28
15589,2018,3300,HAMILTON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
15590,2018,3300,HAMILTON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,3,A81,Dangerous driving,7,21
15616,2018,3300,HAMILTON,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,2,D13,Explosives offences,6,12
15619,2018,3300,HAMILTON,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,3,D26,Disorderly conduct,5,15
15621,2018,3300,HAMILTON,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,5,D24,Offensive language,3,15
15622,2018,3300,HAMILTON,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,19,D23,Offensive conduct,5,95
15623,2018,3300,HAMILTON,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,22,D22,Drunk and disorderly in public,4,88
15624,2018,3300,HAMILTON,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,2,D21,Riot and affray,6,12
15625,2018,3300,HAMILTON,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,18,D35,Improper movement on public or private space,4,72
15626,2018,3300,HAMILTON,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,1,D32,Hoaxes,7,7
15652,2018,3301,TARRINGTON,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
15660,2018,3302,BRANXHOLME,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
15664,2018,3302,BRANXHOLME,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
15678,2018,3304,DRUMBORG,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
15682,2018,3304,HEYWOOD,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,3,A232,Non-FV Common assault,10,30
15684,2018,3304,HEYWOOD,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2,A212,Non-FV Serious assault,10,20
15686,2018,3304,HEYWOOD,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,4,A89,Other dangerous or negligent acts endangering people,7,28
15687,2018,3304,HEYWOOD,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
15702,2018,3304,MILLTOWN,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
15703,2018,3304,MILLTOWN,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
15709,2018,3304,MUMBANNAR,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
15713,2018,3304,MYAMYN,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2,A232,Non-FV Common assault,10,20
15735,2018,3305,HEATHMERE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
15740,2018,3305,PORTLAND,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,25,A232,Non-FV Common assault,10,250
15742,2018,3305,PORTLAND,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,24,A212,Non-FV Serious assault,10,240
15746,2018,3305,PORTLAND,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,3,A732,Non-FV Threatening behaviour,7,21
15748,2018,3305,PORTLAND,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,2,A722,Non-FV Harassment and private nuisance,8,16
15750,2018,3305,PORTLAND,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,2,A712,Non-FV Stalking,10,20
15751,2018,3305,PORTLAND,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,9,A89,Other dangerous or negligent acts endangering people,7,63
15752,2018,3305,PORTLAND,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,2,A83,Throw or discharge object endangering people,7,14
15753,2018,3305,PORTLAND,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,4,A81,Dangerous driving,7,28
15778,2018,3305,PORTLAND,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
15782,2018,3305,PORTLAND,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,1,D24,Offensive language,3,3
15783,2018,3305,PORTLAND,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,21,D23,Offensive conduct,5,105
15784,2018,3305,PORTLAND,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,14,D22,Drunk and disorderly in public,4,56
15785,2018,3305,PORTLAND,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,2,D21,Riot and affray,6,12
15786,2018,3305,PORTLAND,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,2,D35,Improper movement on public or private space,4,8
15800,2018,3305,PORTLAND NORTH,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
15801,2018,3305,PORTLAND WEST,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
15803,2018,3309,DIGBY,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
15807,2018,3310,MERINO,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
15814,2018,3311,CASTERTON,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
15816,2018,3311,CASTERTON,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
15818,2018,3311,CASTERTON,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
15819,2018,3311,CASTERTON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
15836,2018,3311,CASTERTON,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,1,D24,Offensive language,3,3
15861,2018,3314,CAVENDISH,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
15869,2018,3315,COLERAINE,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2,A212,Non-FV Serious assault,10,20
15871,2018,3315,COLERAINE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
15882,2018,3315,COLERAINE,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
15891,2018,3317,HARROW,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,2,D22,Drunk and disorderly in public,4,8
15895,2018,3318,EDENHOPE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
15901,2018,3318,EDENHOPE,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
15905,2018,3319,APSLEY,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,3,A232,Non-FV Common assault,10,30
15908,2018,3321,INVERLEIGH,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
15918,2018,3322,CRESSY,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
15929,2018,3324,LISMORE,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
15951,2018,3328,TEESDALE,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
15969,2018,3330,ROKEWOOD,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
15977,2018,3330,ROKEWOOD,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,2,D35,Improper movement on public or private space,4,8
15980,2018,3331,BANNOCKBURN,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2,A232,Non-FV Common assault,10,20
15982,2018,3331,BANNOCKBURN,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2,A212,Non-FV Serious assault,10,20
16016,2018,3331,STEIGLITZ,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
16030,2018,3332,LETHBRIDGE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
16043,2018,3333,MEREDITH,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
16044,2018,3333,MEREDITH,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,2,D35,Improper movement on public or private space,4,8
16046,2018,3334,ELAINE,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
16049,2018,3334,ELAINE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
16060,2018,3335,BONNIE BROOK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
16065,2018,3335,PLUMPTON,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
16068,2018,3335,PLUMPTON,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,2,A732,Non-FV Threatening behaviour,7,14
16069,2018,3335,PLUMPTON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,3,A89,Other dangerous or negligent acts endangering people,7,21
16070,2018,3335,PLUMPTON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,2,A81,Dangerous driving,7,14
16086,2018,3335,ROCKBANK,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2,A232,Non-FV Common assault,10,20
16088,2018,3335,ROCKBANK,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,3,A212,Non-FV Serious assault,10,30
16092,2018,3335,ROCKBANK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,14,A89,Other dangerous or negligent acts endangering people,7,98
16093,2018,3335,ROCKBANK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,2,A83,Throw or discharge object endangering people,7,14
16094,2018,3335,ROCKBANK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,6,A81,Dangerous driving,7,42
16117,2018,3335,ROCKBANK,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
16140,2018,3336,DEANSIDE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
16147,2018,3337,HARKNESS,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
16151,2018,3337,HARKNESS,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
16161,2018,3337,HARKNESS,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
16162,2018,3337,HARKNESS,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
16166,2018,3337,KURUNJANG,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,6,A232,Non-FV Common assault,10,60
16168,2018,3337,KURUNJANG,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,13,A212,Non-FV Serious assault,10,130
16171,2018,3337,KURUNJANG,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,2,A732,Non-FV Threatening behaviour,7,14
16173,2018,3337,KURUNJANG,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,2,A722,Non-FV Harassment and private nuisance,8,16
16176,2018,3337,KURUNJANG,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,2,A89,Other dangerous or negligent acts endangering people,7,14
16177,2018,3337,KURUNJANG,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,3,A83,Throw or discharge object endangering people,7,21
16194,2018,3337,KURUNJANG,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
16197,2018,3337,KURUNJANG,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
16198,2018,3337,KURUNJANG,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,3,D35,Improper movement on public or private space,4,12
16199,2018,3337,KURUNJANG,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,1,D32,Hoaxes,7,7
16207,2018,3337,MELTON,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,44,A232,Non-FV Common assault,10,440
16209,2018,3337,MELTON,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,56,A212,Non-FV Serious assault,10,560
16214,2018,3337,MELTON,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,13,A732,Non-FV Threatening behaviour,7,91
16216,2018,3337,MELTON,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,7,A722,Non-FV Harassment and private nuisance,8,56
16218,2018,3337,MELTON,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,6,A712,Non-FV Stalking,10,60
16220,2018,3337,MELTON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,25,A89,Other dangerous or negligent acts endangering people,7,175
16221,2018,3337,MELTON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,2,A83,Throw or discharge object endangering people,7,14
16223,2018,3337,MELTON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,18,A81,Dangerous driving,7,126
16247,2018,3337,MELTON,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
16251,2018,3337,MELTON,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,2,D24,Offensive language,3,6
16252,2018,3337,MELTON,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,6,D23,Offensive conduct,5,30
16253,2018,3337,MELTON,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,10,D22,Drunk and disorderly in public,4,40
16254,2018,3337,MELTON,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,4,D21,Riot and affray,6,24
16255,2018,3337,MELTON,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
16266,2018,3337,MELTON WEST,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,16,A232,Non-FV Common assault,10,160
16268,2018,3337,MELTON WEST,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,12,A212,Non-FV Serious assault,10,120
16272,2018,3337,MELTON WEST,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,2,A732,Non-FV Threatening behaviour,7,14
16276,2018,3337,MELTON WEST,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,7,A89,Other dangerous or negligent acts endangering people,7,49
16277,2018,3337,MELTON WEST,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,2,A83,Throw or discharge object endangering people,7,14
16278,2018,3337,MELTON WEST,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,3,A81,Dangerous driving,7,21
16299,2018,3337,MELTON WEST,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
16302,2018,3337,MELTON WEST,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,1,D26,Disorderly conduct,5,5
16304,2018,3337,MELTON WEST,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,2,D22,Drunk and disorderly in public,4,8
16312,2018,3337,TOOLERN VALE,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
